,시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
265,경기,비봉초 유포분교장,1992,화성오산,초,대부,경기도 화성시 비봉면 유포리 307
266,경기,산호초,1995,포천,초,자체활용,경기도 포천시 영북면 산정리 83
267,경기,삼정초 금동분교장,1990,포천,초,대부,경기도 포천시 신북면 금동리 247-1
268,경기,상색초 두밀분교장,1994,가평,초,대부,경기도 가평군 가평읍 두밀리 11-2
269,경기,서삼초,2021,안성,초,자체활용,경기도 안성시 보개면 남풍리 1070
270,경기,서신초제부분교장,2020,화성오산,초,미활용,경기도 화성시 서신면 제부리 23-1
271,경기,서탄초 금각분교장,2000,평택,초,대부,경기도 평택시 서탄면 금각리 286-4
272,경기,석장초,1996,양평,초,대부,경기도 양평군 개군면 석장리 177
273,경기,신산초 영장분교장,1994,파주,초,미활용,경기도 파주시 광탄면 영장리 256-1
274,경기,안양서여중,2017,안양과천,중,자체활용,경기도 안양시 만안구 안양동 728-2
275,경기,양동초 단석분교장,2009,양평,초,대부,경기도 양평군 양동면 쌍학리 357
276,경기,양동초 매월분교장,2007,양평,초,대부,경기도 양평군 양동면 매월리 803-1
277,경기,양동초 삼산분교장,2001,양평,초,미활용,경기도 양평군 양동면 삼산리 632-11
278,경기,양성초방축분교장,1994,안성,초,대부,경기도 안성시 양성면 방축리 187-1
279,경기,양평단월초 산음분교장,2001,양평,초,대부,경기도 양평군 단월면 산음리 231-1
280,경기,양평부안초,2004,양평,초,대부,경기도 양평군 단월면 부안리 236-1
281,경기,양평중 옥천분교장,1996,양평,초,자체활용,경기도 양평군 옥천면 옥천리 549-1
282,경기,어정초 동진원분교장,1999,용인,초,대부,경기도 기흥구 중동 669외 4필지
283,경기,연천왕산초 동중분교장,1991,연천,초,대부,경기도 연천군 왕징면 동중리 461-1
284,경기,연천왕산초 마전분교장(A),1991,연천,초,대부,경기도 연천군 미산면 1795
285,경기,연천왕산초 마전분교장(B),2008,연천,초,대부,경기도 연천군 미산면 유촌리 625
286,경기,연천초 고문분교장,2017,연천,초,대부,경기도 연천군 연천읍 고문리 259-1
287,경기,영북초 보광분교장,1995,포천,초,대부,경기도 포천시 영북면 야미리 276
288,경기,영성여중,2017,성남,중,자체활용,경기도 성남시 수정구 산성동 5
289,경기,영중초,2022,포천,초,자체활용,경기도 포천시 영중면 성동리 891-3
290,경기,영평초,2022,포천,초,미활용,경기도 포천시 영중면 영평리 240
291,경기,옥계초,2000,연천,초,대부,경기도 연천군 군남면 옥계리 475-4
292,경기,용운초,1996,파주,초,대부,경기도 파주시 적성면 객현리 385-2
293,경기,운암초,1982,포천,초,자체활용,경기도 포천시 영북면 운천리 334-3
294,경기,원곡초성은분교장,2018,안성,초,대부,경기도 안성시 원곡면 성은리 35-1
295,경기,월곶초 문수분교장,1995,김포,초,자체활용,경기도 김포시 월곶면 보구곶리 364
296,경기,유양초 천성분교장,1991,동두천양주,초,미활용,경기도 양주시 유양동 725
297,경기,율면초 월포분교장,1994,이천,초,대부,경기도 이천시 율면 월포리 610-1
298,경기,이천중 호법분교장,1994,이천,중,자체활용,경기도 이천시 호법면 후안리 295
299,경기,장암초,1998,안성,초,대부,경기도 안성시 일죽면 장암리 204
300,경기,장암초금산분교장,1995,안성,초,대부,경기도 안성시 일죽면 금산리 232-1
301,경기,장호원상업고,2001,이천,고,자체활용,경기도 이천시 장호원읍 노탑리 717
